OTU	Domain	Phylum	Class	Order	Family	Genus	Species
ASV3192	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	?	?
ASV2369	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1938BRRJ
ASV1475	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
ASV1695	Bacteria	?	?	?	?	?	?
ASV5014	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus barengoltzii
ASV1776	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	?	?
ASV2441	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus Saccharimonas	?
ASV653	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	?
ASV1702	Bacteria	Firmicutes	Clostridia	?	?	?	?
ASV1694	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	Romboutsia ilealis
ASV2985	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	?	?	?
ASV1708	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	?	?
ASV7736	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidales RF16 group	?	?
ASV1711	Bacteria	Campylobacterota	Campylobacteria	?	?	?	?
ASV1710	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera	?
ASV750	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	?
ASV1715	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter	Hypsibius dujardini
ASV485	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	?
ASV1811	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	?
ASV1720	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Lactobacillus reuteri
ASV9	Bacteria	Campylobacterota	Campylobacteria	?	?	?	?
ASV1724	Bacteria	Firmicutes	Clostridia	?	?	?	?
ASV5435	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	?
ASV1723	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	?	?
ASV1718	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	gut metagenome
ASV3060	Bacteria	Firmicutes	Clostridia	?	?	?	?
ASV1727	Bacteria	Patescibacteria	Gracilibacteria	?	?	?	?
ASV1920	Bacteria	Desulfobacterota	?	?	?	?	?
ASV1722	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
ASV1726	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	?	?	?
ASV3814	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	?	?	?
ASV1728	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?
ASV1729	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	?	?
ASV2176	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	Romboutsia ilealis
ASV1736	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Rodentibacter	?
ASV1737	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
ASV2493	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
ASV4403	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus mundtii
ASV1916	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
ASV1748	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
